Title_German,Title_English,Sentence,FS_Valenz,FS_Arousal
Allerleirauh,All-Kinds-Of-Fur,"Es war einmal ein König, der hatte eine Frau mit goldenen Haaren, und sie war so schön, dass sich ihres Gleichen nicht mehr auf Erden fand.",3.0,1.0
Allerleirauh,All-Kinds-Of-Fur,"Es geschah, dass sie krank lag, und als sie fühlte dass sie bald sterben würde, rief sie den König und sprach „wenn du nach meinem Tode dich wieder vermählen willst, so nimm keine, die nicht eben so schön ist, als ich bin, und die nicht solche goldene Haare hat, wie ich habe; das musst du mir versprechen.“",-1.5,3.5
Allerleirauh,All-Kinds-Of-Fur,"Nachdem es ihr der König versprochen hatte, tat sie die Augen zu und starb.",-2.0,2.0
Allerleirauh,All-Kinds-Of-Fur,"Der König war lange Zeit nicht zu trösten und dachte nicht daran, eine zweite Frau zu nehmen.",-2.0,1.0
Allerleirauh,All-Kinds-Of-Fur,"Endlich sprachen seine Räte „es geht nicht anders, der König muss sich wieder vermählen, damit wir eine Königin haben.“",-2.0,2.0
Allerleirauh,All-Kinds-Of-Fur,"Nun wurden Boten weit und breit umhergeschickt, eine Braut zu suchen, die an Schönheit der verstorbenen Königin ganz gleich käme.",1.5,2.5
Allerleirauh,All-Kinds-Of-Fur,"Es war aber keine in der ganzen Welt zu finden, und wenn man sie auch gefunden hätte, so war doch keine da, die solche goldene Haare gehabt hätte.",-1.5,2.5
Allerleirauh,All-Kinds-Of-Fur,Also kamen die Boten unverrichteter Sache wieder heim.,0.0,1.0
Allerleirauh,All-Kinds-Of-Fur,"Nun hatte der König eine Tochter, die war gerade so schön wie ihre verstorbene Mutter, und hatte auch solche goldene Haare.",1.5,1.5
Allerleirauh,All-Kinds-Of-Fur,"Als sie herangewachsen war, sah sie der König einmal an und sah dass sie in allem seiner verstorbenen Gemahlin ähnlich war und fühlte plötzlich eine heftige Liebe zu ihr.",2.0,4.5
Allerleirauh,All-Kinds-Of-Fur,"Da sprach er zu seinen Räten „ich will meine Tochter heiraten, denn sie ist das Ebenbild meiner verstorbenen Frau, und sonst kann ich doch keine Braut finden, die ihr gleicht.“",1.5,1.5
Allerleirauh,All-Kinds-Of-Fur,"Als die Räte das hörten, erschraken sie und sprachen „Gott hat verboten dass der Vater seine Tochter heirate, aus der Sünde kann nichts Gutes entspringen und das Reich wird mit ins Verderben gezogen.“",-2.0,4.0
Allerleirauh,All-Kinds-Of-Fur,"Die Tochter erschrak noch mehr als sie den Entschluss ihres Vaters vernahm, hoffte aber ihn von seinem Vorhaben noch abzubringen.",-1.5,3.5
Allerleirauh,All-Kinds-Of-Fur,"Da sagte sie zu ihm „eh ich euren Wunsch erfülle, muss ich erst drei Kleider haben, eins so golden wie die Sonne, eins so silbern wie der Mond, und eins so glänzend wie die Sterne; ferner verlange ich einen Mantel von tausenderlei Pelz und Rauhwerk zusammengesetzt, und ein jedes Tier in euerm Reich muss ein Stück von seiner Haut dazu geben.“",-1.5,3.5
Allerleirauh,All-Kinds-Of-Fur,"Sie dachte aber „das anzuschaffen ist ganz unmöglich, und ich bringe damit meinen Vater von seinen bösen Gedanken ab.“",-1.0,2.0
Allerleirauh,All-Kinds-Of-Fur,"Der König ließ aber nicht ab, und die geschicktesten Jungfrauen in seinem Reiche mussten die drei Kleider weben, eins so golden wie die Sonne, eins so silbern wie der Mond, und eins so glänzend wie die Sterne; und seine Jäger mussten alle Tiere im ganzen Reiche auffangen und ihnen ein Stück von ihrer Haut abziehen; daraus ward ein Mantel von tausenderlei Rauhwerk gemacht.",1.0,3.0
Allerleirauh,All-Kinds-Of-Fur,"Endlich, als alles fertig war, ließ der König den Mantel herbei holen, breitete ihn vor ihr aus und sprach „morgen soll die Hochzeit sein.“",2.0,2.0
Allerleirauh,All-Kinds-Of-Fur,"Als nun die Königstochter sah dass keine Hoffnung mehr war ihres Vaters Herz umzuwenden, so fasste sie den Entschluss zu entfliehen.",-1.5,3.5
Allerleirauh,All-Kinds-Of-Fur,"In der Nacht, während alles schlief, stand sie auf und nahm von ihren Kostbarkeiten dreierlei, einen goldenen Ring, ein goldenes Spinnrädchen und ein goldenes Haspelchen; die drei Kleider von Sonne Mond und Sternen, tat sie in eine Nussschale, zog den Mantel von allerlei Rauhwerk an und machte sich Gesicht und Hände mit Ruß schwarz.",1.0,3.0
Allerleirauh,All-Kinds-Of-Fur,"Dann befahl sie sich Gott und ging fort, und ging die ganze Nacht, bis sie in einen großen Wald kam.",0.0,3.0
Allerleirauh,All-Kinds-Of-Fur,"Und weil sie müde war, setzte sie sich in einen hohlen Baum, und schlief ein.",0.0,1.0
Allerleirauh,All-Kinds-Of-Fur,"Die Sonne ging auf und sie schlief fort und schlief noch immer, als es schon hoher Tag war.",0.5,1.5
Allerleirauh,All-Kinds-Of-Fur,"Da trug es sich zu, dass der König, dem dieser Wald gehörte, darin jagte.",0.0,3.0
Allerleirauh,All-Kinds-Of-Fur,"Als seine Hunde zu dem Baum kamen, schnupperten sie, liefen rings herum und bellten.",0.5,3.5
Allerleirauh,All-Kinds-Of-Fur,Sprach der König zu den Jägern „seht doch was dort für ein Wild sich versteckt hat.“,0.0,2.0
Allerleirauh,All-Kinds-Of-Fur,"Die Jäger folgten dem Befehl, und als sie wieder kamen, sprachen sie „in dem hohlen Baum liegt ein wunderliches Tier, wie wir noch niemals eins gesehen haben: an seiner Haut ist tausenderlei Pelz; es liegt aber und schläft.“",0.0,2.5
Allerleirauh,All-Kinds-Of-Fur,"Sprach der König „seht zu ob ihrs lebendig fangen könnt, dann bindets auf den Wagen und nehmts mit.“",-0.5,4.5
